SCIENTIFIC NAME	OBSERVATION COUNT	LATITUDE	LONGITUDE	OBSERVATION DATE
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-10-04
Turdus flavipes	2	-14.553292	-40.267813000000004	2017-10-24
Turdus flavipes	3	-14.6083848	-40.3342964	2017-10-25
Turdus flavipes	3	-14.553292	-40.267813000000004	2017-10-31
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-11-22
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-11-22
Turdus flavipes	3	-15.391956299999999	-39.5644283	2017-11-23
Turdus flavipes	3	-15.391956299999999	-39.5644283	2017-11-23
Turdus flavipes	5	-15.391956299999999	-39.5644283	2017-11-07
Turdus flavipes	5	-15.391956299999999	-39.5644283	2017-11-07
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-11-12
Turdus flavipes	5	-15.391956299999999	-39.5644283	2017-11-07
Turdus flavipes	3	-15.391956299999999	-39.5644283	2017-12-09
Turdus flavipes	1	-14.413172	-40.1356	2017-12-06
Turdus flavipes	1	-15.391956299999999	-39.5644283	2017-12-11
Turdus flavipes	5	-15.391956299999999	-39.5644283	2018-01-03
Turdus flavipes	1	-15.391956299999999	-39.5644283	2018-01-05
Turdus flavipes	15	-15.391956299999999	-39.5644283	2018-01-04
Turdus flavipes	1	-15.391956299999999	-39.5644283	2018-01-02
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-02-28
Turdus flavipes	4	-15.391956299999999	-39.5644283	2018-02-27
Turdus flavipes	3	-14.601549800000003	-40.337586	2018-02-03
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-02-28
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-03-01
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-03-01
Turdus flavipes	2	-16.351361400000002	-39.9672526	2018-08-17
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-11-06
Turdus flavipes	2	-15.391956299999999	-39.5644283	2018-11-06
Turdus flavipes	1	-15.391956299999999	-39.5644283	2018-11-26
Turdus flavipes	2	-13.896931	-39.9561006	2018-11-15
Turdus flavipes	1	-15.422401999999998	-39.541041	2019-02-07
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-02-07
Turdus flavipes	4	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	4	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.379975	-39.568469	2019-02-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.422401999999998	-39.541041	2019-02-07
Turdus flavipes	2	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.422401999999998	-39.541041	2019-02-07
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	4	-15.391956299999999	-39.5644283	2019-02-08
Turdus flavipes	1	-15.422401999999998	-39.541041	2019-02-07
Turdus flavipes	2	-14.2795221	-38.9945555	2019-02-07
Turdus flavipes	1	-15.379975	-39.568469	2019-02-07
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-03-09
Turdus flavipes	2	-14.737283600000001	-40.2123213	2019-03-05
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-03-22
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-03-22
Turdus flavipes	1	-16.3876004	-39.1697613	2019-04-30
Turdus flavipes	1	-14.661197400000002	-40.1415893	2019-05-25
Turdus flavipes	2	-16.3876004	-39.1697613	2019-05-27
Turdus flavipes	7	-15.391956299999999	-39.5644283	2019-06-21
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-06-17
Turdus flavipes	12	-15.391956299999999	-39.5644283	2019-06-20
Turdus flavipes	12	-15.391956299999999	-39.5644283	2019-06-20
Turdus flavipes	12	-15.391956299999999	-39.5644283	2019-06-20
Turdus flavipes	7	-15.391956299999999	-39.5644283	2019-06-21
Turdus flavipes	7	-15.391956299999999	-39.5644283	2019-06-21
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-07-29
Turdus flavipes	1	-15.391956299999999	-39.5644283	2019-07-31
